ethnicity,date,filename,sex
CEU,2/4/03,GSM25349.CEL.gz,M
CEU,2/4/03,GSM25350.CEL.gz,M
CEU,12/17/02,GSM25356.CEL.gz,M
CEU,1/30/03,GSM25357.CEL.gz,M
CEU,1/3/03,GSM25358.CEL.gz,M
CEU,1/16/03,GSM25359.CEL.gz,M
CEU,1/3/03,GSM25360.CEL.gz,F
CEU,2/4/03,GSM25361.CEL.gz,M
CEU,12/17/02,GSM25377.CEL.gz,M
CEU,12/17/02,GSM25378.CEL.gz,M
CEU,12/17/02,GSM25385.CEL.gz,M
CEU,1/3/03,GSM25386.CEL.gz,M
CEU,12/17/02,GSM25399.CEL.gz,F
CEU,12/17/02,GSM25400.CEL.gz,F
CEU,11/22/02,GSM25401.CEL.gz,M
CEU,12/6/02,GSM25402.CEL.gz,F
CEU,1/3/03,GSM25409.CEL.gz,M
CEU,2/21/03,GSM25410.CEL.gz,F
CEU,2/21/03,GSM25426.CEL.gz,M
CEU,12/19/02,GSM25427.CEL.gz,M
CEU,11/19/02,GSM25479.CEL.gz,M
CEU,11/21/02,GSM25480.CEL.gz,M
CEU,11/19/02,GSM25481.CEL.gz,F
CEU,11/21/02,GSM25482.CEL.gz,F
CEU,11/21/02,GSM25524.CEL.gz,M
CEU,11/27/02,GSM25525.CEL.gz,M
CEU,12/6/02,GSM25526.CEL.gz,M
CEU,12/6/02,GSM25527.CEL.gz,M
CEU,11/21/02,GSM25528.CEL.gz,M
CEU,11/27/02,GSM25529.CEL.gz,M
CEU,11/21/02,GSM25530.CEL.gz,F
CEU,12/6/02,GSM25531.CEL.gz,F
CEU,1/16/03,GSM25540.CEL.gz,M
CEU,1/16/03,GSM25541.CEL.gz,M
CEU,1/22/03,GSM25542.CEL.gz,F
CEU,1/22/03,GSM25543.CEL.gz,F
CEU,3/11/03,GSM25548.CEL.gz,M
CEU,3/11/03,GSM25549.CEL.gz,M
CEU,3/7/03,GSM25550.CEL.gz,F
CEU,3/7/03,GSM25551.CEL.gz,F
CEU,4/4/03,GSM25552.CEL.gz,M
CEU,4/4/03,GSM25553.CEL.gz,M
CEU,1/23/03,GSM25561.CEL.gz,M
CEU,1/30/03,GSM25562.CEL.gz,M
CEU,1/23/03,GSM25563.CEL.gz,M
CEU,1/30/03,GSM25564.CEL.gz,M
CEU,2/16/03,GSM25565.CEL.gz,F
CEU,2/4/03,GSM25566.CEL.gz,F
CEU,1/23/03,GSM25568.CEL.gz,M
CEU,2/16/03,GSM25569.CEL.gz,F
CEU,3/11/03,GSM25570.CEL.gz,F
CEU,3/11/03,GSM25571.CEL.gz,F
CEU,10/31/02,GSM25578.CEL.gz,M
CEU,11/15/02,GSM25579.CEL.gz,M
CEU,10/31/02,GSM25580.CEL.gz,F
CEU,11/15/02,GSM25581.CEL.gz,F
CEU,12/19/02,GSM25624.CEL.gz,M
CEU,1/3/03,GSM25625.CEL.gz,M
CEU,1/3/03,GSM25626.CEL.gz,F
CEU,1/23/03,GSM25627.CEL.gz,M
CEU,1/16/03,GSM25628.CEL.gz,M
CEU,1/16/03,GSM25629.CEL.gz,M
CEU,1/23/03,GSM25630.CEL.gz,M
CEU,3/4/03,GSM25631.CEL.gz,F
CEU,1/14/03,GSM25632.CEL.gz,M
CEU,1/14/03,GSM25633.CEL.gz,M
CEU,1/14/03,GSM25634.CEL.gz,F
