title,election_date,estimates,last_updated,poll_count,short_title,slug,state,topic,url
2014 Kentucky Senate: McConnell vs. Grimes,2014-11-04,"[{u'first_name': u'Mitch', u'last_name': u'McConnell', u'value': 46.5, u'choice': u'McConnell', u'incumbent': True, u'party': u'Rep', u'lead_confidence': 99.8}, {u'first_name': u'Alison Lundergan', u'last_name': u'Grimes', u'value': 42.2, u'choice': u'Grimes', u'incumbent': False, u'party': u'Dem', u'lead_confidence': 0.2}]",2014-10-26T15:00:07Z,53,2014 Kentucky Senate,2014-kentucky-senate-mcconnell-vs-grimes,KY,2014-senate,http://elections.huffingtonpost.com/pollster/2014-kentucky-senate-mcconnell-vs-grimes
2014 Arkansas Senate: Cotton vs. Pryor,2014-11-04,"[{u'first_name': u'Tom', u'last_name': u'Cotton', u'value': 47.1, u'choice': u'Cotton', u'incumbent': False, u'party': u'Rep', u'lead_confidence': 98.8}, {u'first_name': u'Mark', u'last_name': u'Pryor', u'value': 43.4, u'choice': u'Pryor', u'incumbent': True, u'party': u'Dem', u'lead_confidence': 1.2}]",2014-10-27T21:12:53Z,58,2014 Arkansas Senate,2014-arkansas-senate-cotton-vs-pryor,AR,2014-senate,http://elections.huffingtonpost.com/pollster/2014-arkansas-senate-cotton-vs-pryor
2014 Michigan Senate: Land vs. Peters,2014-11-04,"[{u'first_name': u'Gary', u'last_name': u'Peters', u'value': 49.9, u'choice': u'Peters', u'incumbent': False, u'party': u'Dem', u'lead_confidence': 100.0}, {u'first_name': u'Terri Lynn', u'last_name': u'Land', u'value': 38.7, u'choice': u'Land', u'incumbent': False, u'party': u'Rep', u'lead_confidence': 0.0}]",2014-10-28T22:53:30Z,59,2014 Michigan Senate,2014-michigan-senate-land-vs-peters,MI,2014-senate,http://elections.huffingtonpost.com/pollster/2014-michigan-senate-land-vs-peters
2014 Louisiana Senate: Cassidy vs. Landrieu,2014-11-04,"[{u'first_name': u'Bill', u'last_name': u'Cassidy', u'value': 47.0, u'choice': u'Cassidy', u'incumbent': False, u'party': u'Rep', u'lead_confidence': 99.9}, {u'first_name': u'Mary', u'last_name': u'Landrieu', u'value': 42.3, u'choice': u'Landrieu', u'incumbent': True, u'party': u'Dem', u'lead_confidence': 0.2}, {u'first_name': None, u'last_name': None, u'value': 0.9, u'choice': u'Other', u'incumbent': None, u'party': None, u'lead_confidence': None}]",2014-10-28T22:22:13Z,31,2014 Louisiana Senate,2014-louisiana-senate-cassidy-vs-landrieu,LA,2014-senate,http://elections.huffingtonpost.com/pollster/2014-louisiana-senate-cassidy-vs-landrieu
2014 New Hampshire Senate: Brown vs. Shaheen,2014-11-04,"[{u'first_name': u'Jeanne', u'last_name': u'Shaheen', u'value': 47.5, u'choice': u'Shaheen', u'incumbent': True, u'party': u'Dem', u'lead_confidence': 92.9}, {u'first_name': u'Scott', u'last_name': u'Brown', u'value': 45.5, u'choice': u'Brown', u'incumbent': False, u'party': u'Rep', u'lead_confidence': 7.1}]",2014-10-28T21:30:33Z,55,2014 New Hampshire Senate,2014-new-hampshire-senate-brown-vs-shaheen,NH,2014-senate,http://elections.huffingtonpost.com/pollster/2014-new-hampshire-senate-brown-vs-shaheen
2014 West Virginia Senate: Capito vs. Tennant,2014-11-04,"[{u'first_name': u'Shelley', u'last_name': u'Moore Capito', u'value': 53.6, u'choice': u'Capito', u'incumbent': False, u'party': u'Rep', u'lead_confidence': 100.0}, {u'first_name': u'Natalie', u'last_name': u'Tennant', u'value': 35.9, u'choice': u'Tennant', u'incumbent': False, u'party': u'Dem', u'lead_confidence': 0.0}]",2014-10-26T15:04:28Z,14,2014 West Virginia Senate,2014-west-virginia-senate-capito-vs-tennant,WV,2014-senate,http://elections.huffingtonpost.com/pollster/2014-west-virginia-senate-capito-vs-tennant
2014 North Carolina Senate: Tillis vs. Hagan,2014-11-04,"[{u'first_name': u'Kay', u'last_name': u'Hagan', u'value': 44.2, u'choice': u'Hagan', u'incumbent': True, u'party': u'Dem', u'lead_confidence': 94.1}, {u'first_name': u'Thom', u'last_name': u'Tillis', u'value': 42.1, u'choice': u'Tillis', u'incumbent': False, u'party': u'Rep', u'lead_confidence': 6.0}, {u'first_name': u'Sean', u'last_name': u'Haugh', u'value': 4.7, u'choice': u'Haugh', u'incumbent': False, u'party': u'Lib', u'lead_confidence': None}]",2014-10-27T15:59:47Z,64,2014 North Carolina Senate,2014-north-carolina-senate-tillis-vs-hagan,NC,2014-senate,http://elections.huffingtonpost.com/pollster/2014-north-carolina-senate-tillis-vs-hagan
2014 Virginia Senate: Gillespie vs. Warner,2014-11-04,"[{u'first_name': u'Mark', u'last_name': u'Warner', u'value': 49.4, u'choice': u'Warner', u'incumbent': True, u'party': u'Dem', u'lead_confidence': 100.0}, {u'first_name': u'Ed', u'last_name': u'Gillespie', u'value': 35.4, u'choice': u'Gillespie', u'incumbent': False, u'party': u'Rep', u'lead_confidence': 0.0}]",2014-10-28T18:03:15Z,21,2014 Virginia Senate,2014-virginia-senate-gillespie-vs-warner,VA,2014-senate,http://elections.huffingtonpost.com/pollster/2014-virginia-senate-gillespie-vs-warner
2014 Colorado Senate: Gardner vs. Udall,2014-11-04,"[{u'first_name': u'Cory', u'last_name': u'Gardner', u'value': 47.9, u'choice': u'Gardner', u'incumbent': False, u'party': u'Rep', u'lead_confidence': 99.5}, {u'first_name': u'Mark', u'last_name': u'Udall', u'value': 45.2, u'choice': u'Udall', u'incumbent': True, u'party': u'Dem', u'lead_confidence': 0.5}]",2014-10-27T16:51:57Z,46,2014 Colorado Senate,2014-colorado-senate-gardner-vs-udall,CO,2014-senate,http://elections.huffingtonpost.com/pollster/2014-colorado-senate-gardner-vs-udall
2014 Illinois Senate: Oberweis vs. Durbin,2014-11-04,"[{u'first_name': u'Dick', u'last_name': u'Durbin', u'value': 51.3, u'choice': u'Durbin', u'incumbent': True, u'party': u'Dem', u'lead_confidence': 100.0}, {u'first_name': u'Jim', u'last_name': u'Oberweis', u'value': 38.6, u'choice': u'Oberweis', u'incumbent': False, u'party': u'Rep', u'lead_confidence': 0.0}, {u'first_name': None, u'last_name': None, u'value': 3.1, u'choice': u'Other', u'incumbent': None, u'party': None, u'lead_confidence': None}]",2014-10-26T15:43:57Z,14,IL Senate: Oberweis vs. Durbin,2014-illinois-senate-oberweis-vs-durbin,IL,2014-senate,http://elections.huffingtonpost.com/pollster/2014-illinois-senate-oberweis-vs-durbin
2014 Alaska Senate: Sullivan vs. Begich,2014-11-04,"[{u'first_name': u'Dan', u'last_name': u'Sullivan', u'value': 49.7, u'choice': u'Sullivan', u'incumbent': False, u'party': u'Rep', u'lead_confidence': 96.0}, {u'first_name': u'Mark', u'last_name': u'Begich', u'value': 46.3, u'choice': u'Begich', u'incumbent': True, u'party': u'Dem', u'lead_confidence': 4.0}]",2014-10-28T11:12:37Z,31,2014 Alaska Senate: Sullivan vs. Begich,2014-alaska-senate-sullivan-vs-begich,AK,2014-senate,http://elections.huffingtonpost.com/pollster/2014-alaska-senate-sullivan-vs-begich
2014 Iowa Senate: Ernst vs. Braley,2014-11-04,"[{u'first_name': u'Joni', u'last_name': u'Ernst', u'value': 47.0, u'choice': u'Ernst', u'incumbent': False, u'party': u'Rep', u'lead_confidence': 80.0}, {u'first_name': u'Bruce', u'last_name': u'Braley', u'value': 45.3, u'choice': u'Braley', u'incumbent': False, u'party': u'Dem', u'lead_confidence': 20.0}]",2014-10-28T16:53:42Z,45,2014 Iowa Senate,2014-iowa-senate-ernst-vs-braley,IA,2014-senate,http://elections.huffingtonpost.com/pollster/2014-iowa-senate-ernst-vs-braley
2014 Mississippi Senate: Cochran vs. Childers,2014-11-04,"[{u'first_name': u'Thad', u'last_name': u'Cochran', u'value': 44.4, u'choice': u'Cochran', u'incumbent': True, u'party': u'Rep', u'lead_confidence': 100.0}, {u'first_name': u'Travis', u'last_name': u'Childers', u'value': 26.5, u'choice': u'Childers', u'incumbent': False, u'party': u'Dem', u'lead_confidence': 0.0}, {u'first_name': None, u'last_name': None, u'value': 9.0, u'choice': u'Other', u'incumbent': None, u'party': None, u'lead_confidence': None}]",2014-10-26T15:11:17Z,8,2014 Mississippi Senate,2014-mississippi-senate-cochran-vs-childers,MS,2014-senate,http://elections.huffingtonpost.com/pollster/2014-mississippi-senate-cochran-vs-childers
2014 Oregon Senate: Wehby vs. Merkley,2014-11-04,"[{u'first_name': u'Jeff', u'last_name': u'Merkley', u'value': 51.5, u'choice': u'Merkley', u'incumbent': True, u'party': u'Dem', u'lead_confidence': 100.0}, {u'first_name': u'Monica', u'last_name': u'Wehby', u'value': 34.5, u'choice': u'Wehby', u'incumbent': False, u'party': u'Rep', u'lead_confidence': 0.0}]",2014-10-28T18:17:24Z,18,2014 Oregon Senate,2014-oregon-senate-wehby-vs-merkley,OR,2014-senate,http://elections.huffingtonpost.com/pollster/2014-oregon-senate-wehby-vs-merkley
2014 Georgia Senate: Perdue vs. Nunn,2014-11-04,"[{u'first_name': u'David', u'last_name': u'Perdue', u'value': 46.0, u'choice': u'Perdue', u'incumbent': False, u'party': u'Rep', u'lead_confidence': 91.3}, {u'first_name': u'Michelle', u'last_name': u'Nunn', u'value': 44.3, u'choice': u'Nunn', u'incumbent': False, u'party': u'Dem', u'lead_confidence': 8.7}, {u'first_name': u'Amanda', u'last_name': u'Swafford', u'value': 4.0, u'choice': u'Swafford', u'incumbent': False, u'party': u'Lib', u'lead_confidence': None}]",2014-10-28T15:49:53Z,42,2014 Georgia Senate,2014-georgia-senate-perdue-vs-nunn,GA,2014-senate,http://elections.huffingtonpost.com/pollster/2014-georgia-senate-perdue-vs-nunn
2014 Nebraska Senate: Sasse vs. Domina,2014-11-04,"[{u'first_name': u'Ben', u'last_name': u'Sasse', u'value': 57.4, u'choice': u'Sasse', u'incumbent': False, u'party': u'Rep', u'lead_confidence': 100.0}, {u'first_name': u'David', u'last_name': u'Domina', u'value': 30.4, u'choice': u'Domina', u'incumbent': False, u'party': u'Dem', u'lead_confidence': 0.0}]",2014-10-26T15:13:42Z,6,2014 Nebraska Senate: Sasse vs. Domina,2014-nebraska-senate-sasse-vs-domina,NE,2014-senate,http://elections.huffingtonpost.com/pollster/2014-nebraska-senate-sasse-vs-domina
2014 South Dakota Senate: Rounds vs. Weiland,2014-11-04,"[{u'first_name': u'Mike', u'last_name': u'Rounds', u'value': 41.6, u'choice': u'Rounds', u'incumbent': False, u'party': u'Rep', u'lead_confidence': 100.0}, {u'first_name': u'Rick', u'last_name': u'Weiland', u'value': 28.7, u'choice': u'Weiland', u'incumbent': False, u'party': u'Dem', u'lead_confidence': 0.0}, {u'first_name': u'Larry', u'last_name': u'Pressler', u'value': 19.6, u'choice': u'Pressler', u'incumbent': False, u'party': u'Ind', u'lead_confidence': None}, {u'first_name': None, u'last_name': None, u'value': 2.0, u'choice': u'Other', u'incumbent': None, u'party': None, u'lead_confidence': None}]",2014-10-28T16:38:20Z,23,2014 South Dakota Senate,2014-south-dakota-senate-rounds-vs-weiland,SD,2014-senate,http://elections.huffingtonpost.com/pollster/2014-south-dakota-senate-rounds-vs-weiland
2014 Maine Senate: Collins vs. Bellows,2014-11-04,"[{u'first_name': u'Susan', u'last_name': u'Collins', u'value': 60.2, u'choice': u'Collins', u'incumbent': True, u'party': u'Rep', u'lead_confidence': 100.0}, {u'first_name': u'Shenna', u'last_name': u'Bellows', u'value': 32.7, u'choice': u'Bellows', u'incumbent': False, u'party': u'Dem', u'lead_confidence': 0.0}]",2014-10-28T15:59:36Z,12,2014 Maine Senate,2014-maine-senate-collins-vs-bellows,ME,2014-senate,http://elections.huffingtonpost.com/pollster/2014-maine-senate-collins-vs-bellows
